,Rank,Name,Score,Price,Market Cap
0,1,BNB Chain,95,$280.07,$45.19B
1,2,Polygon,92,$0.85,$7.40B
2,3,ShibaSwap,93,$0.00,$6.70B
3,4,The Sandbox ,92,$0.94,$1.39B
4,5,Aave,95,$85.04,$1.19B
5,6,ApeCoin ,92,$4.80,$1.47B
6,7,Decentraland,93,$0.77,$1.44B
7,8,1inch Network,91,$0.66,$385.00M
8,9,PancakeSwap,86,$3.95,$543.30M
9,10,Frax,88,$1.00,$1.50B
10,11,Unus Sed Leo,94,$5.84,$5.57B
11,12,NuCypher,85,$0.16,$113.88M
12,13,Chiliz,95,$0.21,$1.29B
13,14,Crypto.com,85,$0.12,$3.10B
14,15,Chain,85,$0.08,$1.74B
15,16,THORChain ,95,$1.92,$636.04M
16,17,Kava,95,$1.75,$437.95M
17,18,IoTeX,95,$0.03,$288.65M
18,19,Swipe,85,$0.37,$183.27M
19,20,Celer Network ,95,$0.02,$124.08M
20,21,Ocean Protocol ,95,$0.16,$100.29M
21,22,Bancor,95,$0.46,$93.75M
22,23,Shentu,95,$0.91,$77.61M
23,24,Fetch.ai,95,$0.08,$60.88M
24,25,Biswap ,87,$0.29,$79.10M
25,26,Ampleforth ,95,$0.91,$47.12M
26,27,BakerySwap ,91,$0.26,$49.74M
27,28,Telcoin,80,$0.00,$98.43M
28,29,DODO DEX,91,$0.13,$14.16M
29,30,TrueUSD ,N/A,$1.00,$1.08B
30,31,Yearn Finance,N/A,$9.15K,$335.11M
31,32,Ontology,N/A,$0.24,$214.18M
32,33,OMG Network ,N/A,$1.80,$252.11M
33,34,Metahero,88,$0.00,$24.00M
34,35,Polymath,N/A,$0.19,$178.10M
35,36,Nervos Network ,N/A,$0.00,$129.32M
36,37,SafePal,N/A,$0.44,$47.68M
37,38,Boba Network,N/A,$0.32,$55.70M
38,39,Tether,95,$1.00,$67.55B
39,40,Paxos ,85,$1.00,$945.93M
40,41,Terra,87,$0.00,$1.46B
41,42,Reserve,95,$0.01,$264.09M
42,43,Icon.Foundation,94,$0.27,$252.09M
43,44,Ceek,95,$0.17,$136.13M
44,45,STASIS EURO ,95,$1.00,$124.12M
45,46,SXP,85,$0.37,$183.54M
46,47,Metadium,95,$0.04,$70.12M
47,48,Baby Doge,85,$0.00,$146.93M
48,49,Radio Caca ,86,$0.00,$124.68M
49,50,Mdex ,88,$0.08,$71.14M
50,51,WazirX,91,$0.19,$72.64M
51,52,Band Protocol,95,$1.29,$45.36M
52,53,bZx Protocol,93,$0.08,$40.24M
53,54,API3,88,$1.66,$93.65M
54,55,Orion Protocol ,94,$1.17,$40.04M
55,56,KardiaChain ,93,$0.01,$34.51M
56,57,Tellor,85,$19.08,$32.50M
57,58,Moss,93,$0.09,$34.21M
58,59,Firmachain,95,$0.06,$33.12M
59,60,Alpaca Finance,89,$0.26,$37.10M
60,61,USDK,92,$1.00,$28.55M
61,62,Contentos,93,$0.01,$28.78M
62,63,Frontier,95,$0.22,$22.09M
63,64,Kunci Coin,80,$0.04,$51.03M
64,65,Akropolis,94,$0.00,$17.87M
65,66,Waltonchain,89,$0.25,$20.33M
66,67,Hoge Finance,85,$0.00,$22.35M
67,68,ForTube,93,$0.02,$11.49M
68,69,DODO NFT ,91,$0.13,$14.16M
69,70,Rubic,92,$0.08,$8.99M
70,71,AllianceBlock ,93,$0.05,$10.69M
71,72,Rupiah Token,88,$0.00,$11.60M
72,73,Kylin Network,95,$0.02,$5.44M
73,74,Trust Wallet,N/A,$0.96,$400.69M
74,75,Mysterium,89,$0.32,$6.35M
75,76,ShiryoInu,91,$0.00,$6.96M
76,77,BabySwap ,88,$0.05,$12.51M
77,78,Civilization,90,$0.04,$12.96M
78,79,dForce,88,$0.03,$15.10M
79,80,Decentr,93,$0.02,$1.82M
80,81,DeFi Yield Protocol,90,$0.18,$4.23M
81,82,MultiVac,91,$0.00,$3.97M
82,83,Battle World Game ,89,$0.25,$11.30M
83,84,Opulous,87,$0.12,$5.20M
84,85,Balancer,N/A,$7.13,$310.31M
85,86,UBU Finance,94,$0.02,N/A
86,87,Golff Finance,87,$0.07,$682.81K
87,88,MXC (Meta X Connect) ,N/A,$0.08,$209.71M
88,89,Smaugs NFT,91,$0.00,$26.64K
89,90,Core MultiChain,92,$0.00,N/A
90,91,GivingToServices,85,$0.00,$2.77M
91,92,Playermon ,89,$0.00,$53.12K
92,93,Phoswap,93,$0.02,N/A
93,94,OBORTECH,93,$0.01,N/A
94,95,Saitama Inu ,91,$0.00,N/A
95,96,NDB,89,$0.02,N/A
96,97,Rigel Protocol,85,$0.05,$90.98K
97,98,Enjin,N/A,$0.52,$518.05M
98,99,Berry Data,86,$0.10,$192.35K
99,100,Bcpay Fintech,92,$0.00,N/A
