,Rank,Collector_Username,Collector_Score
0,1,@laukialovforeve,1308370
1,2,@takrummel,1274278
2,3,@mkatzpp,1172020
3,4,@italy,1126383
4,5,@dkjets,1089215
5,6,@stingray1004,878990
6,7,@ahiles16,830368
7,8,@samiratinitech,773520
8,9,@bheals152,739157
9,10,@spagatti,718628
10,11,@autocraft,718302
11,12,@greatnape,623309
12,13,@lowal7,618053
13,14,@cheddarmills,589866
14,15,@jmzentner,571194
15,16,@ncane1,542998
16,17,@mikeyt2177,534366
17,18,@bladevisionary,530004
18,19,@wmrickjames,480163
19,20,@datrashman13,448519
20,21,@stevens1979,433923
21,22,@swaggycripple,433657
22,23,@donjuancristal,432035
23,24,@elonmuskrocket,430639
24,25,@domnfts,409863
