,Rank,Name,Trust Score,Price,Market Cap
0,1,BNB Chain,95,$277.85,$44.83B
1,2,Polygon,92,$0.88,$7.61B
2,3,ShibaSwap,93,$0.00,$6.72B
3,4,The Sandbox ,92,$0.94,$1.39B
4,5,Aave,95,$85.57,$1.20B
5,6,ApeCoin ,92,$4.78,$1.47B
6,7,Decentraland,93,$0.78,$1.45B
7,8,1inch Network,91,$0.68,$393.01M
8,9,PancakeSwap,86,$3.97,$560.79M
9,10,Frax,88,$1.00,$1.49B
10,11,Unus Sed Leo,94,$5.41,$5.16B
11,12,NuCypher,85,$0.16,$113.30M
12,13,Chiliz,95,$0.22,$1.29B
13,14,Crypto.com,85,$0.12,$3.08B
14,15,THORChain ,95,$1.93,$639.55M
15,16,Chain,85,$0.08,$1.73B
16,17,Kava,95,$1.73,$434.44M
17,18,IoTeX,95,$0.03,$285.12M
18,19,Swipe,85,$0.38,$187.26M
19,20,Celer Network ,95,$0.02,$123.85M
20,21,Ocean Protocol ,95,$0.17,$102.39M
21,22,Bancor,95,$0.47,$95.87M
22,23,Shentu,95,$0.98,$83.52M
23,24,Fetch.ai,95,$0.08,$61.58M
24,25,Biswap ,87,$0.29,$79.99M
25,26,Ampleforth ,95,$0.93,$47.15M
26,27,BakerySwap ,91,$0.25,$49.09M
27,28,Telcoin,80,$0.00,$98.02M
28,29,DODO DEX,91,$0.13,$13.97M
29,30,TrueUSD ,N/A,$1.00,$1.07B
30,31,Yearn Finance,N/A,$9.21K,$337.35M
31,32,Metahero,88,$0.00,$24.04M
32,33,Ontology,N/A,$0.25,$217.60M
33,34,OMG Network ,N/A,$1.80,$252.99M
34,35,Polymath,N/A,$0.19,$177.23M
35,36,Nervos Network ,N/A,$0.00,$130.08M
36,37,SafePal,N/A,$0.39,$42.37M
37,38,Boba Network,N/A,$0.32,$54.81M
38,39,Tether,95,$1.00,$67.55B
39,40,Paxos ,85,$1.00,$944.34M
40,41,Terra,87,$0.00,$1.79B
41,42,Reserve,95,$0.01,$272.03M
42,43,Icon.Foundation,94,$0.27,$248.84M
43,44,Ceek,95,$0.17,$134.31M
44,45,SXP,85,$0.38,$187.32M
45,46,STASIS EURO ,95,$0.99,$123.38M
46,47,Baby Doge,85,$0.00,$147.59M
47,48,Metadium,95,$0.04,$67.67M
48,49,Mdex ,88,$0.08,$70.75M
49,50,Radio Caca ,86,$0.00,$123.07M
50,51,WazirX,91,$0.19,$72.68M
51,52,Band Protocol,95,$1.29,$45.26M
52,53,API3,87,$1.69,$95.71M
53,54,Orion Protocol ,94,$1.14,$38.96M
54,55,bZx Protocol,93,$0.07,$37.70M
55,56,KardiaChain ,93,$0.01,$35.39M
56,57,Moss,93,$0.09,$33.87M
57,58,Tellor,93,$20.04,$34.13M
58,59,Alpaca Finance,89,$0.27,$37.97M
59,60,Firmachain,94,$0.06,$31.54M
60,61,USDK,92,$1.00,$28.61M
61,62,Contentos,93,$0.01,$27.92M
62,63,Frontier,95,$0.22,$21.64M
63,64,Kunci Coin,80,$0.04,$50.79M
64,65,Akropolis,94,$0.00,$17.82M
65,66,Waltonchain,89,$0.25,$20.53M
66,67,ForTube,93,$0.02,$11.54M
67,68,DODO NFT ,91,$0.13,$13.97M
68,69,Rubic,92,$0.09,$9.44M
69,70,Hoge Finance,85,$0.00,$21.44M
70,71,AllianceBlock ,93,$0.04,$10.42M
71,72,Kylin Network,95,$0.02,$5.21M
72,73,Rupiah Token,88,$0.00,$8.28M
73,74,BabySwap ,88,$0.04,$12.21M
74,75,Trust Wallet,N/A,$0.96,$399.62M
75,76,Mysterium,89,$0.31,$6.30M
76,77,dForce,88,$0.04,$15.26M
77,78,ShiryoInu,91,$0.00,$7.16M
78,79,Decentr,93,$0.02,$1.89M
79,80,Civilization,90,$0.04,$13.00M
80,81,MultiVac,91,$0.00,$4.02M
81,82,DeFi Yield Protocol,90,$0.17,$4.13M
82,83,Battle World Game ,88,$0.27,$17.19M
83,84,Opulous,87,$0.12,$5.27M
84,85,Smaugs NFT,91,$0.00,$27.20K
85,86,GivingToServices,85,$0.00,$2.66M
86,87,Playermon ,88,$0.00,$53.25K
87,88,Core MultiChain,92,$0.00,N/A
88,89,Golff Finance,87,$0.07,$650.59K
89,90,Balancer,N/A,$7.58,$330.13M
90,91,UBU Finance,94,$0.02,N/A
91,92,Berry Data,86,$0.09,$187.43K
92,93,MXC (Meta X Connect) ,N/A,$0.07,$193.67M
93,94,OBORTECH,93,$0.01,N/A
94,95,Saitama Inu ,91,$0.00,N/A
95,96,Rigel Protocol,85,$0.05,$91.46K
96,97,Gamer ,92,$0.02,N/A
97,98,Bcpay Fintech,92,$0.00,N/A
98,99,SokuSwap ,91,$0.01,N/A
99,100,Luxurious Pro Network Token,90,$2.74,N/A
